,net,gross,n_active,equity
2018-11-23,0.051361922275754965,0.051500811164643855,9.0,1.0602968845653975
2018-11-30,-0.0487855608998843,-0.0487855608998843,9.0,1.0085697063314747
2018-12-07,-0.014844373834686977,-0.014844373834686977,9.0,0.9935981205723499
2018-12-14,-0.07300459357104573,-0.07300459357104573,9.0,0.9210608936070106
2018-12-21,0.04206159610626416,0.04206159610626416,9.0,0.9598021849031835
2018-12-28,0.031268673502231614,0.031268673502231614,9.0,0.9898139260496497
2019-01-04,0.02760459004873619,0.02776084004873619,8.0,1.0171373337027805
2019-01-11,0.03191291009837889,0.03205179898726778,9.0,1.0495971459909421
2019-01-18,-0.010810850082646128,-0.01045370722550327,7.0,1.0382501085984608
2019-01-25,0.01528065798973757,0.01543690798973757,8.0,1.0541152534157616
2019-02-01,-0.005089208148560666,-0.004672541481893999,6.0,1.0487506414785561
2019-02-08,0.03038538897331045,0.030802055639977115,9.0,1.080617337655891
2019-02-15,0.008259503096729966,0.008616645953872824,7.0,1.08954269990264
2019-02-22,0.005028808664833472,0.005185058664833472,8.0,1.0950218016726165
2019-03-01,-0.029268304909132244,-0.02718497157579891,3.0,1.0629723696991151
2019-03-08,0.02795486615878496,0.02878819949211829,9.0,1.0926876200245403
2019-03-15,-0.0030305988787571576,-0.0026734560216143005,7.0,1.0893761221484621
2019-03-22,0.013513390913900613,0.014227676628186327,7.0,1.1040972875393236
2019-03-29,0.020440387645300883,0.020940387645300883,5.0,1.1266654640947527
2019-04-05,-0.012663908922725446,-0.0051639089227254464,1.0,1.1123974752710766
2019-04-12,-0.005343723525442503,-0.004718723525442503,2.0,1.1064531307128276
2019-04-26,-0.003909178798779285,-0.0018258454654459522,3.0,1.1021278075924021
2019-05-03,-0.01793902726664092,-0.01700152726664092,4.0,1.082356706800679
2019-05-10,-0.01164958396919316,-0.010955139524748716,9.0,1.069747701460185
2019-05-17,-0.014097189172292881,-0.014097189172292881,9.0,1.0546672657460754
